fileid,citation,y_dev,scrutiny_score
LP-424|828-Greer_v._Spock.pickle,424|828,1,-0.3930189613509483
LP-427|50-Young_v._Am._Mini_Theatres.pickle,427|50,1,-1.7889097656091018
LP-431|291-Smith_v._United_States.pickle,431|291,1,-1.9355940635179614
LP-431|767-Ward_v._Illinois.pickle,431|767,1,-1.788901375501258
"LP-431|85-Linmark_Associates,_Inc._v._Willingboro.pickle",431|85,1,-0.795002718011951
LP-436|293-Pinkus_v._United_States.pickle,436|293,1,-1.248045465507091
LP-436|412-In_re_Primus.pickle,436|412,1,0.20687303365055085
LP-436|775-FCC_v._National_Citizens_Committee_for_Broadcasting.pickle,436|775,1,-0.5822273807587566
LP-440|1-Friedman_v._Rogers.pickle,440|1,1,-0.4024287768394879
LP-443|111-Hutchinson_v._Proxmire.pickle,443|111,1,0.5968343388001701
LP-443|157-Wolston_v._Reader's_Digest_Ass'n.pickle,443|157,1,0.384825954599332
LP-444|348-Brown_v._Glines.pickle,444|348,1,-1.3362549015900955
LP-445|308-Vance_v._Universal_Amusement_Co..pickle,445|308,1,-0.8467923477837396
LP-447|557-Cent._Hudson_Gas_&_Elec._Corp._v._Public_Serv._Comm'n.pickle,447|557,1,-1.850354092817278
LP-447|607-NLRB_v._Retail_Store_Employees_Union.pickle,447|607,1,0.054870790923784926
LP-447|74-Pruneyard_Shopping_Ctr._v._Robins.pickle,447|74,1,0.5272099543548932
LP-453|114-United_States_Postal_Serv._v._Council_of_Greenburgh_Civic_Ass'ns.pickle,453|114,1,-0.73700868499249
LP-454|263-Widmar_v._Vincent.pickle,454|263,1,0.3037915194160659
LP-455|191-In_re_R._M._J..pickle,455|191,1,-2.456044354637677
LP-456|212-Int'l_Longshoremen's_Ass'n_v._Allied_Int'l.pickle,456|212,1,0.6254236265152269
LP-457|853-Bd._of_Educ._v._Pico.pickle,457|853,1,0.2860010543747254
LP-458|747-New_York_v._Ferber.pickle,458|747,1,-2.181705529601329
LP-463|60-Bolger_v._Youngs_Drug_Prods._Corp..pickle,463|60,1,-1.5813724560931397
LP-466|789-Members_of_City_Council_v._Taxpayers_for_Vincent.pickle,466|789,1,0.16504285787211367
LP-468|364-Fcc_v._League_of_Women_Voters.pickle,468|364,1,-0.13265084772898475
LP-472|491-Brockett_v._Spokane_Arcades.pickle,472|491,1,-0.8724214405432252
LP-472|675-United_States_v._Albertini.pickle,472|675,1,0.22494067087143194
LP-475|1-Pacific_Gas_&_Electric_Co._v._Public_Utilities_Com..pickle,475|1,1,0.68611014676522
LP-475|767-Phila._Newspapers_v._Hepps.pickle,475|767,1,1.066785594358436
LP-484|260-Hazelwood_Sch._Dist._v._Kuhlmeier.pickle,484|260,1,0.27313541805689934
LP-485|568-Edward_J._DeBartolo_Corp._v._Fla._Gulf_Coast_Bldg._&_Constr._Trades_Council.pickle,485|568,1,-0.11603832538002003
LP-492|115-Sable_Communications_of_Cal._v._FCC.pickle,492|115,1,-0.6456165351298618
LP-492|469-Bd._of_Trs._v._Fox.pickle,492|469,1,-0.4797355801007259
"LP-493|215-FW_PBS,_Inc._v._Dallas.pickle",493|215,1,-1.1141119062711204
LP-505|830-Lee_v._International_Soc'y_for_Krishna_Consciousness.pickle,505|830,1,-1.2833948237917534
LP-507|761-Edenfield_v._Fane.pickle,507|761,1,-0.22872323322583926
LP-509|418-United_States_v._Edge_Broadcasting_Co..pickle,509|418,1,-1.2167508828496314
LP-509|544-Alexander_v._United_States.pickle,509|544,1,-1.1843833476191032
LP-515|819-Rosenberger_v._Rector_&_Visitors_of_the_Univ._of_Va..pickle,515|819,1,1.2429347477527388
LP-517|484-44_Liquormart_v._R.I..pickle,517|484,1,-2.0678101968345115
LP-523|666-Ark._Educ._Tv_Comm'n_v._Forbes.pickle,523|666,1,0.0771099037088149
LP-524|569-Nat'l_Endowment_for_the_Arts_v._Finley.pickle,524|569,1,0.06731805976888916
